  7.80213090478437538E-002 -6.37547307069034480E-002  8.59507027368297755E-004  2.37517451649591309E-002   0.0000000000000000     
  7.80305702761746045E-002 -6.37372912391728774E-002  8.92654307627141095E-004  2.36218176481334252E-002   0.0000000000000000     
  7.80472318744735577E-002 -6.37122774953009785E-002  9.48586926408790461E-004  2.34150138175116297E-002   0.0000000000000000     
  7.80712974366045698E-002 -6.36887220810248567E-002  1.02256330377045778E-003  2.31626763765864080E-002   0.0000000000000000     
  7.81027672615679097E-002 -6.36734169585409931E-002  1.10995306444429962E-003  2.28912112664299595E-002   0.0000000000000000     
  7.81416412559066964E-002 -6.36669262037524442E-002  1.20694913267826976E-003  2.26184899670260030E-002   0.0000000000000000     
  7.81879192066176204E-002 -6.36659867027520310E-002  1.31069645259908872E-003  2.23549547327161480E-002   0.0000000000000000     
  7.82416008320635098E-002 -6.36674845122765509E-002  1.41915044926249493E-003  2.21059176742707877E-002   0.0000000000000000     
  7.83026857955595179E-002 -6.36696527241149973E-002  1.53087543501824095E-003  2.18735535630224381E-002   0.0000000000000000     
  7.83711737099515998E-002 -6.36716758128246241E-002  1.64486947732523769E-003  2.16582824711134513E-002   0.0000000000000000     
  7.84470641394610646E-002 -6.36731907192962521E-002  1.76043234496807530E-003  2.14596068862590861E-002   0.0000000000000000     
  7.85303566005561837E-002 -6.36740143282630844E-002  1.87707315232534151E-003  2.12766020206843279E-002   0.0000000000000000     
  7.86210505624367617E-002 -6.36740283265570528E-002  1.99444611943918595E-003  2.11081764989083445E-002   0.0000000000000000     
  7.87191454473533808E-002 -6.36731373630353148E-002  2.11230779677524507E-003  2.09532216366890046E-002   0.0000000000000000     
  7.88246406308526076E-002 -6.36712562654401654E-002  2.23048638055177136E-003  2.08106718396355549E-002   0.0000000000000000     
  7.89375354419902253E-002 -6.36683072986000687E-002  2.34886147654600171E-003  2.06795401836200703E-002   0.0000000000000000     
